,chemical_symbol,atomic_number,atomic_energy_hfomo,atomic_energy_hpomo,atomic_energy_lfumo,atomic_energy_lpumo,electron_affinity_energy_difference,ionization_energy_energy_difference,electron_affinity_half_charged_homo,ionization_energy_half_charged_homo,atomic_radius_neg_charged_s,atomic_radius_neg_charged_p,atomic_radius_neg_charged_d,atomic_radius_neg_charged,atomic_radius_neg_half_charged_s,atomic_radius_neg_half_charged_p,atomic_radius_neg_half_charged_d,atomic_radius_neg_half_charged,atomic_radius_s,atomic_radius_p,atomic_radius_d,atomic_radius,atomic_radius_half_charged_s,atomic_radius_half_charged_p,atomic_radius_half_charged_d,atomic_radius_half_charged,atomic_radius_charged_s,atomic_radius_charged_p,atomic_radius_charged_d,atomic_radius_charged
10,Na,11.0,-4.2165763870890254e-19,-4.2165763870890254e-19,-4.2165763870890254e-19,-4.2165763870890254e-19,-6.34035391151193e-20,8.025483654630147e-19,-6.191771768743681e-20,8.023123733382913e-19,2.13255,,,2.13255,1.93535,,,1.93535,1.77645,,,1.77645,1.6666500000000002,,,1.6666500000000002,0.32175,0.28665,,0.28665
11,Mg,12.0,-7.477870985792257e-19,-7.477870985792257e-19,-1.6894471813349762e-19,-1.6894471813349762e-19,1.3586804070872598e-19,1.2678923003063736e-18,1.4382098654273278e-19,1.2641942582889984e-18,1.44585,,2.25405,2.25405,1.40095,2.01865,,2.01865,1.3533500000000005,,,1.3533500000000005,1.30435,,,1.30435,1.2692500000000002,,,1.2692500000000002
12,Al,13.0,-1.2164574058722622e-18,-4.0786610235705603e-19,-4.0786610235705603e-19,-4.0786610235705603e-19,5.465354694189902e-20,9.17536499506324e-19,6.011847334227839e-20,9.066813627704448e-19,1.1547500000000002,,1.5995500000000002,1.5995500000000002,1.1320500000000002,1.49795,,1.49795,1.1077500000000002,1.39955,,1.39955,1.08235,1.31465,,1.31465,1.0573500000000002,1.24815,,1.24815
13,Si,14.0,-1.7153527751166913e-18,-6.399141488773826e-19,-6.399141488773826e-19,-6.399141488773826e-19,-1.0642606308923804e-19,1.2355764353554957e-18,-1.000895756779968e-19,1.224897672310637e-18,0.97005,,1.27035,1.27035,0.95985,1.1988500000000002,,1.1988500000000002,0.94795,1.1420500000000002,,1.1420500000000002,0.93485,1.09845,,1.09845,0.92145,1.0655500000000002,,1.0655500000000002
14,P,15.0,-8.744247408638783e-19,-8.744247408638783e-19,-8.744247408638783e-19,-8.744247408638783e-19,-2.490839051329694e-19,1.5563571633209053e-18,-2.44115640828192e-19,1.5472524040623553e-18,0.84885,,1.05025,1.05015,0.8419500000000001,1.0074500000000002,,1.0073500000000002,0.83425,0.97185,,0.97185,0.8260500000000001,0.94265,,0.94275,0.81745,0.91905,,0.91915
15,S,16.0,-1.1171128423229378e-18,-1.1171128423229378e-18,7.486282413051456e-19,-1.1171128423229378e-18,-4.142356516436463e-19,1.881265761722031e-18,-4.096108726971072e-19,1.8726352496273854e-18,0.75765,,0.90015,0.90025,0.75305,0.87295,,0.87295,0.74785,0.84965,,0.84965,0.74205,0.8299500000000001,,0.8299500000000001,0.73585,0.81365,,0.81355
16,Cl,17.0,-1.3716618573057793e-18,-1.3716618573057793e-18,8.01416756607264e-19,-1.3716618573057793e-18,-5.887668215939205e-19,2.2165930676332333e-18,-5.8579582698e-19,2.208856820032128e-18,0.68635,,0.7916500000000001,0.7916500000000001,0.6829500000000001,0.77315,,0.77315,0.67905,0.75695,,0.75695,0.67465,0.74295,,0.74295,0.66995,0.73105,,0.73095
17,Ar,18.0,-1.6379948813346051e-18,-1.6379948813346051e-18,7.165029978814848e-19,7.165029978814848e-19,3.4249760384670037e-19,2.575457435980944e-18,3.3987773745340804e-19,2.5652529984459844e-18,2.47935,,,2.47935,2.43775,,,2.43775,0.62255,0.68355,,0.68355,0.6203500000000001,0.67755,,0.67755,0.61795,0.6726500000000001,,0.6726500000000001
18,K,19.0,-3.593153442169536e-19,-3.593153442169536e-19,-3.593153442169536e-19,-3.593153442169536e-19,-4.972741267242783e-20,6.755114788687266e-19,-4.9603388179968004e-20,6.75335069610029e-19,2.59055,,,2.59055,2.36605,,,2.36605,2.21205,,,2.21205,2.12195,,,2.12195,0.57025,0.61165,,0.61165
19,Ca,20.0,-5.956107609590207e-19,-5.956107609590207e-19,-2.999178503540352e-19,-2.999178503540352e-19,1.883305826029802e-19,1.0053408948779353e-18,2.22550343512224e-19,1.00428436033296e-18,2.00095,0.67555,,2.02405,1.93145,,0.6899500000000001,0.6899500000000001,1.80005,,,1.80005,1.7247500000000002,,,1.7247500000000002,1.6637500000000005,,,1.6637500000000005
20,Sc,21.0,-6.458918698495871e-19,-4.893079443455615e-19,-4.893079443455615e-19,-4.893079443455615e-19,1.7099289105765768e-19,1.0923916576075333e-18,1.919615874679104e-19,1.12578862872457e-18,1.86275,0.63065,,0.63065,1.7669500000000002,,0.60235,0.60235,1.6524500000000002,,0.58135,0.58135,1.57465,,0.57315,0.57315,1.5437500000000002,,0.57345,0.57345
21,Ti,22.0,-6.993597080389247e-19,-6.629630617442111e-19,-6.629630617442111e-19,-6.629630617442111e-19,6.669877934959158e-20,1.1408651235439965e-18,8.435459908511999e-20,1.1450548025896897e-18,1.7605500000000005,0.55195,,0.55195,1.6563500000000002,,0.53405,0.53405,1.54605,,0.51945,0.51945,1.50225,,0.51905,0.51905,1.4692500000000002,,0.51995,0.51995
22,V,23.0,-7.089102828755135e-19,-7.089102828755135e-19,-6.99101757602976e-19,-7.089102828755135e-19,-1.6918193641164822e-20,1.156580229941937e-18,-8.765508292396801e-21,1.1589056194765057e-18,1.6784500000000002,0.49405,,0.49405,1.5690500000000005,,0.48245,0.48245,1.4791500000000002,,0.47555,0.47555,1.4391500000000002,,0.47665,0.47665,1.4043500000000002,,0.47775,0.47775
