,chemical_symbol,atomic_number,atomic_energy_hfomo,atomic_energy_hpomo,atomic_energy_lfumo,atomic_energy_lpumo,electron_affinity_energy_difference,ionization_energy_energy_difference,electron_affinity_half_charged_homo,ionization_energy_half_charged_homo,atomic_radius_neg_charged_s,atomic_radius_neg_charged_p,atomic_radius_neg_charged_d,atomic_radius_neg_charged,atomic_radius_neg_half_charged_s,atomic_radius_neg_half_charged_p,atomic_radius_neg_half_charged_d,atomic_radius_neg_half_charged,atomic_radius_s,atomic_radius_p,atomic_radius_d,atomic_radius,atomic_radius_half_charged_s,atomic_radius_half_charged_p,atomic_radius_half_charged_d,atomic_radius_half_charged,atomic_radius_charged_s,atomic_radius_charged_p,atomic_radius_charged_d,atomic_radius_charged
10,Na,11.0,-4.410183409946496e-19,-4.410183409946496e-19,-4.410183409946496e-19,-4.410183409946496e-19,-7.371596928250643e-20,8.279546522763539e-19,-7.168779072107519e-20,8.342918186894592e-19,2.07295,,,2.07295,1.86685,,,1.86685,1.7171500000000002,,,1.7171500000000002,1.6202500000000002,,,1.6202500000000002,0.32225,0.28545,,0.28545
11,Mg,12.0,-7.641116761685568e-19,-7.641116761685568e-19,-1.7979305603293442e-19,-1.7979305603293442e-19,1.2923161317756292e-19,1.2916734211871569e-18,1.3657434168685438e-19,1.2872976451609342e-18,1.4146500000000002,,2.32065,2.32065,1.3736500000000005,2.09205,,2.09205,1.33075,,,1.33075,1.28275,,,1.28275,1.2490500000000002,,,1.2490500000000002
12,Al,13.0,-1.233922733215603e-18,-4.218915564955392e-19,-4.218915564955392e-19,-4.218915564955392e-19,4.3217942417166367e-20,9.340468499554002e-19,4.869815838921599e-20,9.230347795389505e-19,1.1345500000000002,,1.6184500000000002,1.6184500000000002,1.1141500000000002,1.50385,,1.50385,1.09265,1.39745,,1.39745,1.07025,1.3094500000000002,,1.3094500000000002,1.0478500000000002,1.2409500000000002,,1.0478500000000002
13,Si,14.0,-1.7324848497229057e-18,-6.562627591160257e-19,-6.562627591160257e-19,-6.562627591160257e-19,-1.1907464461092328e-19,1.2536001247766077e-18,-1.1294544088329602e-19,1.2429974615958146e-18,0.95935,,1.2677500000000002,1.26785,0.94965,1.1961500000000005,,1.1961500000000005,0.93855,1.13705,,1.13705,0.92635,1.09045,,1.09045,0.91355,1.05465,,1.05465
14,P,15.0,-8.922313318274498e-19,-8.922313318274498e-19,-8.922313318274498e-19,-8.922313318274498e-19,-2.650966361866568e-19,1.575243626774194e-18,-2.601982897477824e-19,1.5661805186604861e-18,0.8421500000000001,,1.0439500000000002,1.04405,0.83555,1.00195,,1.00195,0.82825,0.96685,,0.96685,0.82035,0.93785,,0.93775,0.8119500000000001,0.91405,,0.91405
15,S,16.0,-1.136968617184512e-18,-1.136968617184512e-18,7.262009729671871e-19,-1.136968617184512e-18,-4.3115179449790703e-19,1.9022901642107387e-18,-4.2670609724104324e-19,1.8938544767932612e-18,0.7533500000000001,,0.8974500000000001,0.8974500000000001,0.74885,0.86975,,0.86975,0.74375,0.84575,,0.84565,0.7381500000000001,0.82525,,0.82525,0.7321500000000001,0.80825,,0.80815
16,Cl,17.0,-1.3934770941745923e-18,-1.3934770941745923e-18,7.711804794195265e-19,-1.3934770941745923e-18,-6.082678377020256e-19,2.2391244454074853e-18,-6.0547215806004495e-19,2.231558060572244e-18,0.68335,,0.78925,0.78935,0.68005,0.7704500000000001,,0.77035,0.67625,0.75385,,0.75385,0.67195,0.73945,,0.73945,0.66745,0.72705,,0.72705
17,Ar,18.0,-1.6635528027896062e-18,-1.6635528027896062e-18,6.958541455926143e-19,6.958541455926143e-19,3.15134026135496e-19,2.599230635220209e-18,3.084382256234496e-19,2.5890885800336256e-18,2.44545,,,2.44545,2.40405,,,2.40405,0.62075,0.68125,,0.68125,0.61855,0.67495,,0.67495,0.6162500000000001,0.6698500000000001,,0.6698500000000001
18,K,19.0,-3.812074855635648e-19,-3.812074855635648e-19,-3.812074855635648e-19,-3.812074855635648e-19,-6.081320756730651e-20,7.064458035820505e-19,-6.009123633972481e-20,7.120825925846976e-19,2.47265,,,2.47265,2.25255,,,2.25255,2.12985,,,2.12985,2.06215,,,2.06215,0.56925,0.60985,,0.60985
19,Ca,20.0,-6.116036879878464e-19,-6.116036879878464e-19,-3.312724468230912e-19,-3.312724468230912e-19,1.8655921452876816e-19,1.0301911509400777e-18,2.3094895335845763e-19,1.0282144703412286e-18,1.98565,0.68135,,2.00675,1.90255,,0.69915,0.69915,1.76205,,,1.76205,1.69545,,,1.69545,1.6439500000000002,,,1.6439500000000002
